date,close,avg_sentiment_score,sentiment,percentagePositivePosts,percentageNegativePosts,percentageNeutralPosts,postsCount
2025-05-22,109665.86371625263,0,0.0739243405871329,54.83698242553925,36.96417162733625,8.198845947124502,493045.0
2025-05-21,109640.1,0,0.0,0.0,0.0,0.0,0.0
2025-05-20,106815.8,0,0.0,0.0,0.0,0.0,0.0		
2025-05-19,106765.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-18,106520.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-17,103153.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-16,103506.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-15,103793.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-14,103531.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-13,104135.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-12,102796.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-11,104129.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-10,104809.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-09,102991.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-08,103261.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-07,97054.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-06,96814.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-05,94725.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-04,94316.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-03,95916.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-02,96925.0,0,0.0,0.0,0.0,0.0,0.0
2025-05-01,96535.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-30,94181.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-29,94285.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-28,95041.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-27,93769.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-26,94662.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-25,94726.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-24,94010.0,0,0.0,0.0,0.0,0.0,0.0
2025-04-23,93730.0,0,0.0,0.0,0.0,0.0,0.0
